page_number,line_up_name,first_name,last_name,party_code,answers
412,Nordsjællands Storkreds,Simon,Rigét,Å,5 1 4 2 4 2 4 1 2 5 5 5 4 4 1 1 4 5 2 2 4 2 1 2 5
413,Nordsjællands Storkreds,Nanna,Høyrup,Å,5 2 5 1 5 2 4 1 2 5 5 5 5 1 4 1 5 2 2 4 1 5 1 1 2
414,Nordsjællands Storkreds,Morten Hvidberg,Greve,Å,4 4 2 4 2 2 4 2 4 2 5 5 5 2 5 1 4 2 2 4 4 4 1 2 4
415,UNKNOWN,Mariane,Lunden,Å,
416,Nordsjællands Storkreds,Rasmus,Harning,Å,5 1 4 1 5 1 2 1 2 5 2 5 5 1 5 1 5 1 1 5 1 5 1 1 5
417,Bornholms Storkreds,Birthe Tindbæk,Bredo,V,1 4 2 2 5 1 1 5 4 2 5 4 4 5 4 4 1 2 4 2 2 5 4 2 2
418,Bornholms Storkreds,Niklas,Stenbye,V,2 1 4 4 5 4 1 4 4 2 4 4 2 4 2 2 4 5 2 4 5 4 2 2
419,Bornholms Storkreds,Peter,Juel-Jensen,V,1 1 2 4 4 4 1 5 4 1 4 4 2 4 4 1 1 4 5 2 5 5 4 2 2
420,Fyns Storkreds,Amanda,Heitmann,V,2 1 4 5 4 4 1 4 5 2 4 4 2 4 2 4 2 5 5 2 5 4 4 2 2
421,Fyns Storkreds,Anja,Lund,V,1 1 2 4 5 4 1 5 4 1 4 4 2 2 4 4 1 5 5 2 5 5 5 2 2
422,Fyns Storkreds,Marlene,Ambo-Rasmussen,V,2 2 2 5 4 2 2 5 4 2 5 4 2 4 4 4 2 5 4 2 4 5 4 2 2
423,Fyns Storkreds,Nikolaj Leed,Henriksen,V,2 1 1 2 5 1 4 4 2 4 2 5 2 2 2 2 2 4 4 2 4 2 4
424,Fyns Storkreds,Sofie,Mosgaard,V,1 1 2 2 4 4 1 4 4 2 4 2 4 4 2 2 2 4 2 4 4 4 4 2 4
425,Fyns Storkreds,Torben,Povlsen,V,1 1 2 4 4 4 1 5 4 1 4 2 2 4 4 5 1 5 5 2 5 5 4 2 4
426,Københavns Storkreds,Anders,Fausbøll,V,4 1 2 2 4 1 4 5 2 5 4 2 5 4 2 1 4 2 2 4 2 2 2
427,Københavns Storkreds,Claus,Buch,V,2 4 2 5 2 4 2 5 4 2 2 4 2 4 4 2 2 5 4 2 4 5 4 4 2
428,Københavns Storkreds,Jan E.,Jørgensen,V,1 1 2 4 1 4 1 4 5 1 4 4 4 4 4 1 1 5 4 2 5 5 2 2 2
429,Københavns Storkreds,Linea,Søgaard-Lidell,V,1 1 2 4 2 4 1 5 5 2 4 4 4 4 4 1 1 4 4 4 4 4 4 2 2
430,Københavns Storkreds,Malene,Sandfeld,V,1 1 2 5 2 4 1 5 4 1 4 5 2 4 5 2 2 5 4 1 5 5 4 2 2
431,Københavns Storkreds,Natascha,Remvig,V,1 1 2 2 2 4 1 5 4 1 4 4 4 4 4 1 1 5 2 2 5 4 4 2 2
432,Københavns Storkreds,Zeynep,Bardakci,V,1 1 2 4 4 4 1 5 4 2 4 5 2 4 4 1 1 5 5 2 5 5 4 1 2
433,Københavns Omegns Storkreds,Anders Bo,Larsen,V,1 1 2 4 2 2 1 2 4 2 4 5 2 4 4 4 2 4 5 2 4 4 2 2 4
434,Københavns Omegns Storkreds,Astrid,Søborg,V,1 1 2 4 2 4 1 4 4 2 4 5 2 4 2 2 2 4 4 2 5 4 4 2 2
435,Københavns Omegns Storkreds,Christopher,Blomsterberg-Thaysen,V,1 1 2 5 4 4 1 5 5 1 5 5 4 4 5 1 1 5 1 5 2 4 1 2
436,Københavns Omegns Storkreds,Kim,Valentin,V,1 1 2 4 1 4 1 4 4 2 4 5 4 4 4 1 1 4 2 4 4 5 2 2 4
437,Københavns Omegns Storkreds,Maria,Ladegaard,V,1 1 2 4 2 4 1 4 4 4 5 5 4 5 1 1 1 5 4 4 5 5 4 2 4
438,Københavns Omegns Storkreds,Marie,Brixtofte,V,2 1 2 4 1 4 1 2 4 2 2 5 4 4 5 2 1 4 4 2 4 2 2 2 2
439,Københavns Omegns Storkreds,Ricki,Vejsmose,V,2 2 4 2 4 2 1 2 4 2 4 4 2 4 2 2 2 4 5 2 5 5 4 4 2
440,Nordjyllands Storkreds,Anita Vivi,Lilholt,V,1 1 5 2 5 2 1 4 5 4 4 4 2 5 1 4 2 4 4 4 2 4 2 2 1
441,Nordjyllands Storkreds,Anne Honoré,Østergaard,V,1 1 2 4 4 4 1 4 4 2 4 4 2 4 5 4 2 4 4 2 4 2 4 2 4
442,UNKNOWN,Hans Jørgen,Adamsen,V,
443,Nordjyllands Storkreds,Marie,Bjerre,V,4 1 2 4 5 4 1 4 5 1 4 4 2 4 4 2 2 5 5 2 5 2 2 2 4
444,Nordjyllands Storkreds,Mikkel,Bisgaard,V,2 1 2 5 4 2 1 4 4 2 4 4 2 4 2 4 2 5 4 4 5 1 1 2 2
445,UNKNOWN,Niels H.,Bünemann,V,2 1 1 4 4 2 1 4 4 2 4 4 2 4 2 2 1 5 2 2 4 2 2 4 2
446,Nordjyllands Storkreds,Phillip,Sperling,V,4 2 2 1 4 4 1 2 4 1 4 5 4 4 4 1 2 1 4 2 4 1 0 2 4
